Matrice,Dimensione (N),Tempo (s),Errore relativo,Memoria (MB)
ex15,6867,0.0092197,6.38580284043786e-07,0
cfd1,70656,0.6844459,9.9540089225009e-14,0
shallow_water1,81920,0.1215045,2.37726748191307e-16,0
cfd2,123440,1.5799062,3.59139720462478e-13,8.51171875
parabolic_fem,525825,1.0621938,1.04977197301831e-12,3.984375
apache2,715176,4.0436955,4.39260313287959e-11,5.45703125
StocF-1465,1465137,600.5236428,2.43703142293754e-10,13.07421875
Flan_1565,1564794,492.1782282,2.38457910481157e-12,13.43359375
G3_circuit,1585478,5.5305714,3.57500646300008e-12,12.09765625
